2000 close low,negative
2000 close lower,negative
2000 closed low,negative
2000 closed lower,negative
2000 closes low,negative
2000 closes lower,negative
2000 closing low,negative
2000 closing lower,negative
2000 end low,negative
2000 end lower,negative
2000 ended low,negative
2000 ended lower,negative
2000 ending low,negative
2000 ending lower,negative
2000 ends low,negative
2000 ends lower,negative
2000 finish low,negative
2000 finish lower,negative
2000 finished low,negative
2000 finished lower,negative
2000 finishes low,negative
2000 finishes lower,negative
2000 finishing low,negative
2000 finishing lower,negative
2000 low,negative
2000 lower,negative
2000 lowered,negative
2000 lowering,negative
2000 lowers,negative
2000 lows,negative
500 close low,negative
500 close lower,negative
500 closed low,negative
500 closed lower,negative
500 closes low,negative
500 closes lower,negative
500 closing low,negative
500 closing lower,negative
500 end low,negative
500 end lower,negative
500 ended low,negative
500 ended lower,negative
500 ending low,negative
500 ending lower,negative
500 ends low,negative
500 ends lower,negative
500 finish low,negative
500 finish lower,negative
500 finished low,negative
500 finished lower,negative
500 finishes low,negative
500 finishes lower,negative
500 finishing low,negative
500 finishing lower,negative
500 low,negative
500 lower,negative
500 lowered,negative
500 lowering,negative
500 lowest,negative
a big challenge,negative
a bit rocky,negative
a dismal,negative
a down day,negative
a firestorm,negative
a limited number,negative
a little worse,negative
a loss,negative
a lower point,negative
a negative territory,negative
a panic,negative
a recall,negative
a recalled,negative
a reject,negative
a rejected,negative
a rocky start,negative
a speed bump,negative
a subpoena,negative
abhorrent,negative
abolish,negative
abolisher,negative
abolishes,negative
abolishing,negative
abominable,negative
abominably,negative
abominate,negative
abomination,negative
abort,negative
aborted,negative
aborts,negative
abrade,negative
abrasive,negative
abrupt,negative
abruptly,negative
abscond,negative
absent,negative
absent-minded,negative
absentee,negative
absurd,negative
absurdity,negative
absurdly,negative
absurdness,negative
abuse,negative
abused,negative
abuses,negative
abusive,negative
abysmal,negative
abysmally,negative
abyss,negative
accidental,negative
accost,negative
account negative,negative
accounts negative,negative
accrue interest,negative
accrued interest,negative
accruing interest,negative
accursed,negative
accusation,negative
accusations,negative
accuse,negative
accuses,negative
accusing,negative
accusingly,negative
acerbate,negative
acerbic,negative
acerbically,negative
ache,negative
ached,negative
aches,negative
aching,negative
achy,negative
acrid,negative
acridly,negative
acridness,negative
acrimonious,negative
acrimoniously,negative
acrimony,negative
activist hedge fund,negative
activist investor,negative
activity contracted,negative
adamant,negative
adamantly,negative
additional rate increases,negative
admonish,negative
admonisher,negative
admonishingly,negative
admonishment,negative
admonition,negative
